Waiting,Eruptions,class
78,4.4,0
74,3.9,0
68,4.0,0
76,4.0,0
80,3.5,0
84,4.1,0
50,2.3,1
93,4.7,0
55,1.7,1
76,4.9,0
58,1.7,1
74,4.6,0
75,3.4,0
80,4.3,0
56,1.7,1
80,3.9,0
69,3.7,0
57,3.1,1
90,4.0,0
42,1.8,1
91,4.1,0
51,1.8,1
79,3.2,0
53,1.9,1
82,4.6,0
51,2.0,1
76,4.5,0
82,3.9,0
84,4.3,0
53,2.3,1
86,3.8,0
51,1.9,1
85,4.6,0
45,1.8,1
88,4.7,0
51,1.8,1
80,4.6,0
49,1.9,1
82,3.5,0
75,4.0,0
73,3.7,0
67,3.7,0
68,4.3,0
86,3.6,0
72,3.8,0
75,3.8,0
75,3.8,0
66,2.5,1
84,4.5,0
70,4.1,0
79,3.7,0
60,3.8,0
86,3.4,0
71,4.0,0
67,2.3,1
81,4.4,0
76,4.1,0
83,4.3,0
76,3.3,0
55,2.0,1
73,4.3,0
56,2.9,1
83,4.6,0
57,1.9,1
71,3.6,0
72,3.7,0
77,3.7,0
55,1.8,1
75,4.6,0
73,3.5,0
70,4.0,0
83,3.7,0
50,1.7,1
95,4.6,0
51,1.7,1
82,4.0,0
54,1.8,1
83,4.4,0
51,1.9,1
80,4.6,0
78,2.9,0
81,3.5,0
53,2.0,1
89,4.3,0
44,1.8,1
78,4.1,0
61,1.8,1
73,4.7,0
75,4.2,0
73,3.9,0
76,4.3,0
55,1.8,1
86,4.5,0
48,2.0,1
77,4.2,0
73,4.4,0
70,4.1,0
88,4.1,0
75,4.0,0
83,4.1,0
61,2.7,1
78,4.6,0
61,1.9,1
81,4.5,0
51,2.0,1
80,4.8,0
79,4.1,0
